license_number,brokerage_name,related_broker_name,address,url,source_domain,source_tier,source_type,page_title,evidence_text,identity_score,address_score,negative_score,total_score,reject_reason,matched_address,city,state,zip_code,county
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"1971 . The company's main headquarters is located in 4101 William d. Tate Avenue #100 Grapevine, Texas 76051",https://leadiq.com/c/century-21-mike-bowman-inc/5a1d97fe2300005400869b13/email-format,leadiq.com,4,Possible official website; office/business page,"CENTURY 21 Mike Bowman, Inc. Email Formats & Email Address Examples | LeadIQ","CENTURY 21 Mike Bowman, Inc. Email Formats & Email Address Examples | LeadIQ Learn more at LeadIQ.com Start free Most Common Email Formats at CENTURY 21 Mike Bowman, Inc. The most accurate and popular CENTURY 21 Mike Bowman, Inc. 's email format is First.Last@c21bowman.com (ex. John.Doe@c21bowman.com). CENTURY 21 Mike Bowman, Inc. also uses First@c21bowman.com (ex. John@c21bowman.com) as email structures. CENTURY 21 Mike Bowman, Inc. uses up to 4 different email patterns. CENTURY 21 Mike Bowman, Inc. Email Formats Example Percentage First.Last@c21bowman.com John.Doe@c21bowman.com 88% First@c21",0.48,0.88,0.0,0.636,,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"4101 William d. Tate Avenue #100 Grapevine, Texas 76051",https://leadiq.com/c/century-21-mike-bowman-inc/5a1d97fe2300005400869b13,leadiq.com,4,Possible official website; linked contact/office page,"CENTURY 21 Mike Bowman, Inc. Company Overview, Contact Details & Competitors | LeadIQ","CENTURY 21 Mike Bowman, Inc. Company Overview, Contact Details & Competitors | LeadIQ Learn more at LeadIQ.com Start free Insights Similar companies Tech Stack Media & News Email Format FAQ Insights Gathering insights about CENTURY 21 Mike Bowman, Inc. â¦ Similar companies to CENTURY 21 Mike Bowman, Inc. Compass / $10B HomeSmart $1B $10B Redfin $500M $1B Keller Williams Realty $1B $10B Trulia $50M $100M Berkshire Hathaway HomeServices $10B REMAX $10B Coldwell Banker $10B eXp Realty $10B Explore similar companies CENTURY 21 Mike Bowman, Inc. Tech Stack CENTURY 21 Mike Bowman, Inc. uses 8 techn",0.479,0.88,0.0,0.636,,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"1600 Solana Blvd Ste 8150 Westlake, TX 76262",https://www.c21bowman.com/,www.c21bowman.com,4,Possible official website; office/business page,#1 CENTURY 21 TEXAS OFFICE | FULL SERVICE CENTURY 21 Real Estate | Dallas Fort Worth Keller Grapevine Homes for Sale Realtor,"#1 CENTURY 21 TEXAS OFFICE | FULL SERVICE CENTURY 21 Real Estate | Dallas Fort Worth Keller Grapevine Homes for Sale Realtor Toggle navigation HOME For Sale Homes for Sale Homes for Rent Luxury Homes Commercial Land, Lots, Ranches Multi-Family D.R. Horton Homes (Featured) Explore DFW Neighborhoods Lease View Our Rentals Search All North Texas Rentals Property Management Tenant Info Lease with Right to Purchase Advice About Our Company Mortgage How Can We Help? I'm Selling a Home I'm Buying a Home I'm Looking to Rent I'm Relocating I Need Property Management How to Buy HUD Properties Explore Ne",0.479,0.88,0.85,0.0,property-listing language,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"180 State St Suite 200, Southlake, TX 76092",https://www.selectsouthlake.com/places/century-21-mike-bowman-inc-relocation-department/,www.selectsouthlake.com,4,Possible official website; search snippet,"CENTURY 21 Mike Bowman, Inc. - Relocation Department","CENTURY 21 Mike Bowman, Inc. – Relocation Department. address. 180 State St Suite 200, Southlake, TX 76092. phone. (817) 354-7653.",0.5,0.88,0.0,0.648,,"180 STATE ST, SOUTHLAKE, TX, 76092",SOUTHLAKE,TX,76092,Tarrant
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"653 HARVEY St Grandview, TX 76050",https://www.har.com/dave-bowman/agent_ntreis-0372714,www.har.com,4,Brokerage/agent profile; office/business page,"Dave Bowman, TX Real Estate Agent - HAR.com","Dave Bowman, TX Real Estate Agent - HAR.com Buy/Rent Buy Single Family Homes Townhouses/Condos Multi-Family Homes Land and Lots Country Homes/Acreage Mid/High-Rise Condos Search by Map Rent Rental Search Single Family Homes Townhouses/Condos Multi-Family Homes Mid/High-Rise Condos Apartments Rentals App Buying vs Renting Calculator Search by Map Specialties Drive Time Just Listed Open Houses New Homes Luxury Homes Land and Lots Price Reduction Foreclosure Commercial Properties Global Properties Enjoy all Benefits of HAR.com Save searches and favorites, ask questions, and connect with agents th",0.794,0.88,0.85,0.181,property-listing language,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"13598 GUNSMOKE Ln Cresson, TX 76035",https://www.har.com/dave-bowman/agent_ntreis-0372714,www.har.com,4,Brokerage/agent profile; office/business page,"Dave Bowman, TX Real Estate Agent - HAR.com","Dave Bowman, TX Real Estate Agent - HAR.com Buy/Rent Buy Single Family Homes Townhouses/Condos Multi-Family Homes Land and Lots Country Homes/Acreage Mid/High-Rise Condos Search by Map Rent Rental Search Single Family Homes Townhouses/Condos Multi-Family Homes Mid/High-Rise Condos Apartments Rentals App Buying vs Renting Calculator Search by Map Specialties Drive Time Just Listed Open Houses New Homes Luxury Homes Land and Lots Price Reduction Foreclosure Commercial Properties Global Properties Enjoy all Benefits of HAR.com Save searches and favorites, ask questions, and connect with agents th",0.794,0.88,0.85,0.181,property-listing language,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"8405 Brandonwood Dr North Richland Hills, TX 76182",https://www.har.com/dave-bowman/agent_ntreis-0372714,www.har.com,4,Brokerage/agent profile; office/business page,"Dave Bowman, TX Real Estate Agent - HAR.com","Dave Bowman, TX Real Estate Agent - HAR.com Buy/Rent Buy Single Family Homes Townhouses/Condos Multi-Family Homes Land and Lots Country Homes/Acreage Mid/High-Rise Condos Search by Map Rent Rental Search Single Family Homes Townhouses/Condos Multi-Family Homes Mid/High-Rise Condos Apartments Rentals App Buying vs Renting Calculator Search by Map Specialties Drive Time Just Listed Open Houses New Homes Luxury Homes Land and Lots Price Reduction Foreclosure Commercial Properties Global Properties Enjoy all Benefits of HAR.com Save searches and favorites, ask questions, and connect with agents th",0.794,0.88,0.85,0.181,property-listing language,,,,,
273938-BB,"MIKE BOWMAN, INC",MICHAEL DAVID BOWMAN,"231 Redbud St Rhome, TX 76078",https://www.har.com/dave-bowman/agent_ntreis-0372714,www.har.com,4,Brokerage/agent profile; office/business page,"Dave Bowman, TX Real Estate Agent - HAR.com","Dave Bowman, TX Real Estate Agent - HAR.com Buy/Rent Buy Single Family Homes Townhouses/Condos Multi-Family Homes Land and Lots Country Homes/Acreage Mid/High-Rise Condos Search by Map Rent Rental Search Single Family Homes Townhouses/Condos Multi-Family Homes Mid/High-Rise Condos Apartments Rentals App Buying vs Renting Calculator Search by Map Specialties Drive Time Just Listed Open Houses New Homes Luxury Homes Land and Lots Price Reduction Foreclosure Commercial Properties Global Properties Enjoy all Benefits of HAR.com Save searches and favorites, ask questions, and connect with agents th",0.794,0.88,0.85,0.181,property-listing language,,,,,
210610-BB,CORNERSTONE REAL ESTATE COMPANY,LOYD KENT BRATCHER,"10009 Sandalwood Dr, Woodway, TX 76712",https://licensee.io/real-estate/662676-margaret-w-beseda-tx/,licensee.io,0,Property listing; search snippet,"Margaret W Beseda in Woodway, Texas - Real Estate Broker","Loyd Kent Bratcher. Real Estate Broker 200 W Hwy 6, Woodway, TX 76712. Randall Wayne Scott. Real Estate Broker 10009 Sandalwood Dr, Woodway, TX 76712. James ...",0.158,0.38,1.0,0.0,property-listing URL,,,,,
210610-BB,CORNERSTONE REAL ESTATE COMPANY,LOYD KENT BRATCHER,"200 W Hwy 6, Woodway, TX 76712",https://licensee.io/real-estate/662676-margaret-w-beseda-tx/,licensee.io,0,Property listing; search snippet,"Margaret W Beseda in Woodway, Texas - Real Estate Broker","Loyd Kent Bratcher. Real Estate Broker 200 W Hwy 6, Woodway, TX 76712. Randall Wayne Scott. Real Estate Broker 10009 Sandalwood Dr, Woodway, TX 76712. James ...",0.158,0.38,1.0,0.0,property-listing URL,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,"110 S Preston Rd, Celina, TX 75009",https://business.celinachamber.org/active-member-directory/Details/ebby-halliday-real-estate-llc-4551920,business.celinachamber.org,4,Possible official website; search snippet,Ebby Halliday Real Estate LLC,"Ebby Halliday Real Estate LLC. Back to Search. Ebby Halliday Real Estate LLC ... Telephone · 972-382-3300 · Physical Address · 110 S Preston Rd, Celina, TX 75009.",0.739,0.88,0.0,0.786,,"110 S PRESTON RD, CELINA, TX, 75009",CELINA,TX,75009,Collin
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,"3300 Physical Address 110 S Preston Rd, Celina, TX 75009",https://business.celinachamber.org/active-member-directory/Details/ebby-halliday-real-estate-llc-4551920,business.celinachamber.org,4,Possible official website; office/business page,Ebby Halliday Real Estate LLC - Celina Chamber of Commerce,Ebby Halliday Real Estate LLC - Celina Chamber of Commerce Skip to content Directory Become a Member Member Benefits Ribbon Cuttings Member Application Sponsorship Opportunities Member to Member Deals Member Login About About Us Board of Directors Board of Directors Application Top Investors Contact Us How to Get Involved Committees Ambassadors CLOI CLOI Style Show CLOI Committee Application CLOI Awards Nominations YCLOI YCLOI Membership Application CYP Leadership Celina Leadership Celina Application Local Business Alliance Life Connected What’s New LSB Celina Weekly Newsletter Hot Deals Job P,0.727,0.88,0.0,0.779,,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,"918 W. Walnut #1476, Celina, TX 75009",https://business.celinachamber.org/active-member-directory/Details/ebby-halliday-real-estate-llc-4551920,business.celinachamber.org,4,Possible official website; office/business page,Ebby Halliday Real Estate LLC - Celina Chamber of Commerce,Ebby Halliday Real Estate LLC - Celina Chamber of Commerce Skip to content Directory Become a Member Member Benefits Ribbon Cuttings Member Application Sponsorship Opportunities Member to Member Deals Member Login About About Us Board of Directors Board of Directors Application Top Investors Contact Us How to Get Involved Committees Ambassadors CLOI CLOI Style Show CLOI Committee Application CLOI Awards Nominations YCLOI YCLOI Membership Application CYP Leadership Celina Leadership Celina Application Local Business Alliance Life Connected What’s New LSB Celina Weekly Newsletter Hot Deals Job P,0.727,0.88,0.0,0.779,,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,6465 E. Mockingbird Lane #450 Dallas TX 75214,https://business.richardsonchamber.com/list/member/ebby-halliday-real-estate-llc-25373,business.richardsonchamber.com,4,Possible official website; search snippet,"Ebby Halliday Real Estate, LLC | Agents & Brokers","Ebby Halliday Real Estate, LLC. Categories. Agents & Brokers. 6465 E. Mockingbird Lane #450 Dallas TX 75214 · (214) 395-4579; Send Email. Share.",0.739,0.7,0.0,0.738,,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,6465 E. Mockingbird Lane #450 Dallas TX 75214,https://business.richardsonchamber.com/list/member/ebby-halliday-real-estate-llc-25373,business.richardsonchamber.com,4,Possible official website; office/business page,"Ebby Halliday Real Estate, LLC | Agents & Brokers - Richardson Chamber of Commerce","Ebby Halliday Real Estate, LLC | Agents & Brokers - Richardson Chamber of Commerce Need Help? Skip to content Calendar Member Directory Contact Us Login Subscribe Menu Membership Why Join Pricing & Benefits Application President’s Club 110% Club Member Business Directory Member Login Resources New Member Resources Member FAQs Job Board Hot Deals SCORE Certificate of Origin Voter Resources City of Richardson Economic Development Richardson Visitor’s Bureau Events 8/13 Monthly Social: A Networking Event Crafted in Stone 8/20 Women In Leadership Service Project 9/29 39th Annual Golf Classic Netwo",0.726,0.88,0.0,0.778,,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,"411 Belle Grove Drive Richardson, TX 75080",https://business.richardsonchamber.com/list/member/ebby-halliday-real-estate-llc-25373,business.richardsonchamber.com,4,Possible official website; office/business page,"Ebby Halliday Real Estate, LLC | Agents & Brokers - Richardson Chamber of Commerce","Ebby Halliday Real Estate, LLC | Agents & Brokers - Richardson Chamber of Commerce Need Help? Skip to content Calendar Member Directory Contact Us Login Subscribe Menu Membership Why Join Pricing & Benefits Application President’s Club 110% Club Member Business Directory Member Login Resources New Member Resources Member FAQs Job Board Hot Deals SCORE Certificate of Origin Voter Resources City of Richardson Economic Development Richardson Visitor’s Bureau Events 8/13 Monthly Social: A Networking Event Crafted in Stone 8/20 Women In Leadership Service Project 9/29 39th Annual Golf Classic Netwo",0.726,0.88,0.0,0.778,,,,,,
257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",VIRGINIA WOODWARD GILL,6465 E. Mockingbird Lane #450 Dallas TX 75214,https://business.richardsonchamber.com/list/member/ebby-halliday-real-estate-llc-25373,business.richardsonchamber.com,4,Possible official website; search snippet,"Ebby Halliday Real Estate, LLC | Agents & Brokers","Ebby Halliday Real Estate, LLC. Categories. Agents & Brokers. 6465 E. Mockingbird Lane #450 Dallas TX 75214 · (214) 395-4579; Send Email. Share.",0.739,0.7,0.0,0.738,,,,,,
246823-BB,S.L.S. PROPERTIES INC,,"622 W Ella, Kingsville, TX 78363",https://www.facebook.com/groups/kingsvillerentals/posts/7427043610749743/,www.facebook.com,1,Low-authority directory; search snippet,"**🏡 Apartment Listing: 622 W Ella, Kingsville, TX 78363 🏡 ...","Rent $900. Contact Jeff Haunschild with SLS Properties, Inc. at (361) 522-7890 for inquiries. ☎️.",0.059,0.64,0.0,0.237,,,,,,
254328-BB,"REAL ESTATE ENTERPRISES, INC.",KAREN DENISE KING,"25310 Wingfield Ln, Spring, TX 77373",https://www.homes.com/property/25310-wingfield-ln-spring-tx/ng2l845d2te6j/,www.homes.com,0,Property listing; search snippet,"25310 Wingfield Ln, Spring, TX 77373","Real Broker, LLC License #0671668. Real Broker, LLC. Home Details. Home ... Trjs Real Estate Enterprises Inc, --. Source: Public Records. Mortgage History.",0.738,0.38,1.0,0.0,property-listing URL,,,,,
263630-BB,B I C REALTY CORP OF TEXAS,RICHARD A GARZA,"21702 Los Venados Dr, Edinburg, TX 78542",https://www.compass.com/homedetails/21702-Los-Venados-Dr-Edinburg-TX-78542/29GDN_pid/,www.compass.com,4,Possible official website; search snippet,"21702 Los Venados Dr, Edinburg, TX 78542 | MLS #453583",Richard A. Garza • TREC #801000009 • Bic Realty. Property Details ... real estate broker. Compass is licensed to do business as: Compass ...,0.317,0.7,0.45,0.155,possible advertised property,,,,,
263630-BB,B I C REALTY CORP OF TEXAS,RICHARD A GARZA,"78504 Homes for Sale Show more More information about 21702 Los Venados Drive , Edinburg, TX 78542",https://www.compass.com/homedetails/21702-Los-Venados-Dr-Edinburg-TX-78542/29GDN_pid/,www.compass.com,4,Possible official website; office/business page,"21702 Los Venados Dr, Edinburg, TX 78542 | MLS #453583","21702 Los Venados Dr, Edinburg, TX 78542 | MLS #453583 Compass Buy Rent Sell Compass Exclusives Private Exclusives Coming Soon Compass Listings New Development Current Developments Compass Development Marketing Group Agents Find an Agent Join as an Agent Compass Buy Rent Sell Compass Exclusives Compass Exclusives Private Exclusives Coming Soon Compass Listings New Development New Development Current Developments Compass Development Marketing Group Agents Agents Find an Agent Join as an Agent 21702 Los Venados Dr Edinburg, TX 78542 $871,200 Price 87,120 / 2 Lot Size / Acres Checking Share Get p",0.713,0.88,0.85,0.134,property-listing language,,,,,
263630-BB,B I C REALTY CORP OF TEXAS,RICHARD A GARZA,"78543 Homes for Sale 78504 Homes for Sale Show more More information about 21702 Los Venados Drive , Edinburg, TX 78542",https://www.compass.com/homedetails/21702-Los-Venados-Dr-Edinburg-TX-78542/29GDN_pid/,www.compass.com,4,Possible official website; office/business page,"21702 Los Venados Dr, Edinburg, TX 78542 | MLS #453583","21702 Los Venados Dr, Edinburg, TX 78542 | MLS #453583 Compass Buy Rent Sell Compass Exclusives Private Exclusives Coming Soon Compass Listings New Development Current Developments Compass Development Marketing Group Agents Find an Agent Join as an Agent Compass Buy Rent Sell Compass Exclusives Compass Exclusives Private Exclusives Coming Soon Compass Listings New Development New Development Current Developments Compass Development Marketing Group Agents Agents Find an Agent Join as an Agent 21702 Los Venados Dr Edinburg, TX 78542 $871,200 Price 87,120 / 2 Lot Size / Acres Checking Share Get p",0.713,0.88,0.85,0.134,property-listing language,,,,,
263630-BB,B I C REALTY CORP OF TEXAS,RICHARD A GARZA,"21702 Los Venados Dr, Edinburg, TX 78542",https://www.realtor.com/realestateandhomes-detail/21702-Los-Venados-Dr_Edinburg_TX_78542_M93728-49576,www.realtor.com,0,Property listing; search snippet,"21702 Los Venados Dr, Edinburg, TX 78542 [Updated 4/24]",Listed by Richard A. Garza. Brokered by with BIC Realty ... real estate agent. Get pre-approved · Edinburg market trends. A city in ...,0.165,0.38,1.0,0.0,property-listing URL,,,,,
